id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
2014,Spices and Herbs,"Spices, cumin seed",17.81,22.27,44.24,7.62,375,NULL,NULL,NULL,NULL,NULL,NULL,0,8.06,0,0,2.25,NULL,10.5,931,66.36,366,499,1788,168,4.8,0.867,NULL,3.333,5.2,1270,0,64,762,0,3.33,0,NULL,NULL,0,0,448,7.7,0.628,0.327,4.579,NULL,0.435,10,0,24.7,0,1.535,33.74
2015,Spices and Herbs,"Spices, curry powder",14.29,14.01,55.83,7.07,325,NULL,0.62,1.14,0.79,0,0,0,8.8,0,0,2.76,0.21,53.2,525,19.1,255,367,1170,52,4.7,1.2,NULL,8.3,40.3,19,0,1,11,0,25.24,0,NULL,NULL,0,0,0,0.7,0.176,0.2,3.26,1.07,0.105,56,0,64.2,0,1.648,2.63
2016,Spices and Herbs,"Spices, dill seed",15.98,14.54,55.17,6.62,305,NULL,NULL,NULL,NULL,NULL,NULL,0,7.7,0,0,NULL,NULL,21.1,1516,16.33,256,277,1186,20,5.2,0.78,NULL,1.833,12.1,53,0,3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.418,0.284,2.807,NULL,0.25,10,0,NULL,0,0.73,34.07
2017,Spices and Herbs,"Spices, dill weed, dried",19.96,4.36,55.82,12.56,253,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.3,NULL,NULL,NULL,NULL,13.6,1784,48.78,451,543,3308,208,3.3,0.49,NULL,3.95,NULL,5850,0,293,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,50,0.418,0.284,2.807,NULL,1.71,NULL,0,NULL,0,0.234,42.22
2018,Spices and Herbs,"Spices, fennel seed",15.8,14.87,52.29,8.22,345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.81,NULL,NULL,NULL,NULL,39.8,1196,18.54,385,487,1694,88,3.7,1.067,NULL,6.533,NULL,135,0,7,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.408,0.353,6.05,NULL,0.47,NULL,0,NULL,0,0.48,12.49
2019,Spices and Herbs,"Spices, fenugreek seed",23,6.41,58.35,3.4,323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.84,NULL,NULL,NULL,NULL,24.6,176,33.53,191,296,770,67,2.5,1.11,NULL,1.228,6.3,60,0,3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,3,0.322,0.366,1.64,NULL,0.6,57,0,NULL,0,1.46,33.75
2020,Spices and Herbs,"Spices, garlic powder",16.55,0.73,72.73,3.54,331,NULL,2.05,0.07,0.31,0,0,0,6.45,0,0,2.43,0,9,79,5.65,77,414,1193,60,2.99,0.533,NULL,0.979,23.9,0,0,0,0,0,0.67,0,NULL,NULL,0,0,0,1.2,0.435,0.141,0.796,0.743,1.654,47,0,67.5,0,0.249,63.73
2021,Spices and Herbs,"Spices, ginger, ground",8.98,4.24,71.62,5.22,335,NULL,0.2,1.22,1.78,0,0,0,9.94,0,0,3.39,0.19,14.1,114,19.8,214,168,1320,27,3.64,0.48,NULL,33.3,55.8,30,0,2,18,0,0,0,NULL,NULL,0,0,0,0.7,0.046,0.17,9.62,0.477,0.626,13,0,41.2,0,2.599,57.52
2022,Spices and Herbs,"Spices, mace, ground",6.71,32.38,50.5,2.23,475,NULL,NULL,NULL,NULL,NULL,NULL,0,8.17,0,0,NULL,NULL,20.2,252,13.9,163,110,463,80,2.3,2.467,NULL,1.5,2.7,800,0,40,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,0.312,0.448,1.35,NULL,0.16,76,0,NULL,0,9.51,30.3
2023,Spices and Herbs,"Spices, marjoram, dried",12.66,7.04,60.56,12.1,271,NULL,NULL,NULL,NULL,NULL,NULL,0,7.64,0,0,4.09,NULL,40.3,1990,82.71,346,306,1522,77,3.6,1.133,NULL,5.433,4.5,8068,0,403,4806,0,1.69,0,NULL,NULL,70,0,1895,51.4,0.289,0.316,4.12,NULL,1.19,274,0,43.6,0,0.529,20.26
